    0                               0                   0                       0                       0                   0               19.861  Sun
-3.878502308595378E-01  2.698216873294546E-02  3.724951626769355E-02 -7.908158616281736E-03 -2.685932565809368E-02 -1.468659774848419E-03 0.3302e-5  Mercury
-5.045724615375771E-01  5.179677844957341E-01  3.593961142843194E-02 -1.469491388732583E-02 -1.408776817679620E-02  6.547835016949553E-04  4.8685e-5  Venus
-8.924263787326536E-01 -4.779864919930020E-01  2.446305977980010E-04  7.899141050979587E-03 -1.521959585033440E-02  1.392401481880499E-07  5.9736e-5  Earth
-1.235731292027939E+00  1.112047014350563E+00  5.363228590251759E-02 -8.872537508340184E-03 -9.180921730082359E-03  2.547824688318972E-05  6.4185e-6  Mars
 4.579716189240010E+00  1.861311767645138E+00 -1.101829843018748E-01 -2.926177790683598E-03  7.345734306161789E-03  3.498239566868072E-05  1.8986e-2  Jupiter
 8.427176905326879E+00 -4.997390104416159E+00 -2.486333021527654E-01   2.533403147891477E-03  4.787140817743062E-03 -1.837489781224951E-04 5.68429e-3 Saturn
 1.304289779965004E+01  1.469269140299191E+01 -1.144040435563524E-01 -2.970230643481302E-03  2.427835077422247E-03  4.740021021920473E-05  8.6832e-4  Uranus
 2.978101217428756E+01 -2.603142401919401E+00 -6.327269303362502E-01  2.524644602110629E-04  3.145728325875655E-03 -7.060184940429436E-05  1.0243e-3  Nepture
 1.647538723959212E+01 -3.055546175016104E+01 -1.496043104807304E+00  2.842386324092620E-03  8.048223036784970E-04 -9.083082521419290E-04  0.0127e-5  Pluto

